Index,shares,text,misinformation,source,revision
17,23,"Curitiba (PR) – No dia 31 de março, foi realizada a passagem do comando interino da Artilharia Divisionária da 5a Divisão de Exército (AD/5), no Forte Pinheirinho. Na ocasião, o Tenente-Coronel Paulo Henrique Camara da Cunha entregou o comando para o Coronel Cesar Augusto Rosa de Araújo. A solenidade foi presidida pelo General de Divisão Carlos José Russo Assumpção Penteado... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/04/solenidade-marca-a-assuncao-do-comando-interino-da-ad-5/",0,,
18,23,"Os militares das Forças Armadas permanecem em diversas frentes de trabalho para combater o novo coronavirus e apoiar a população. Coordenados com agentes do governo, estão sendo empregados em ações como montagem de barracas em apoio a hospitais, fiscalização da entrada e saída de passageiros nas fronteiras, nos aeroportos e nos portos, descontaminação de locais públicos e transporte de medicamentos... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/05/defesa-emprega-mais-de-25-mil-militares-no-combate-a-covid-19/",0,,
19,23,"Quito (Equador) – No dia 30 de março, a Embaixada do Brasil no Equador realizou uma operação de repatriamento de 149 brasileiros que ficaram retidos em território equatoriano, em decorrência de medidas de isolamento ante a pandemia da COVID-19. A Aditância do Exército participou do planejamento e execução do translado da zona norte de Quito até o Aeroporto Internacional Mariscal Sucre... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/04/aditancia-do-brasil-no-equador-apoia-repatriacao-de-brasileiros/",0,,
20,23,"Com o objetivo de prevenir acidentes domésticos e orientar as famílias sobre medidas de primeiros socorros, o Ministério da Mulher, da Família e dos Direitos Humanos (MMFDH) lançou, nesta sexta-feira (3), a cartilha “Prevenção aos acidentes domésticos e guia rápido de primeiros socorros”. O material, disponibilizado ao final desta matéria, pretende contribuir com a segurança das famílias neste tempo de quarentena e isolamento social, provocado pela pandemia do novo coronavírus (Covid-19)... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/04/governo-lanca-guia-de-prevencao-a-acidentes-domesticos-e-primeiros-socorros/",0,,
21,23,"O Hospital das Forças Armadas (HFA) está adotando medidas para identificar casos suspeitos de coronavírus, doença que vem causando milhares de mortes no mundo. As medidas incluem inteligência artificial e uso de câmeras termais. Os pacientes e acompanhantes que forem ao Pronto Atendimento Médico (PAM) ou ao prédio principal do HFA passam, automaticamente, por uma inspeção capaz de detectar, de forma imediata, a temperatura corporal... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/04/hospital-das-forcas-armadas-alia-medicina-e-tecnologia-no-combate-ao-coronavirus/",0,,
22,23,"Herança maldita: Mandetta renova contratos de publicidade de R$ 1bilhão firmados no governo Dilma 

De forma silenciosa e sem o aval do planalto, o ministro da saúde Luiz Henrique Mandetta renovou contratos de publiciade que ultrapassam R$ 1 bilhão com agências de publicidade que alimentam a mídia contra o presidente Jair Bolsonaro. 
Não é a toa, que Mandetta virou o ministro queridinho da extrema imprensa, pois o Ministério da Saúde escoa recursos para empresas de comunicação como Globo e Band que de forma orquestrada firmaram parceria em novembro com a China Media Group, estatal de comunicação do gigante asiático - braço midiático do Partido Comunista da China.
O núcleo de jornalismo investigativo do Agora Paraná teve acesso aos contratos firmados pela licitação 02/2016 sob o comando da ex-presidente Dilma Roussef realizado pelo processo  número 25000089360201568. O pregão apresenta fortes indícios de fraude. O direcionamento da licitação realizado no governo Dilma é tão explícito que as quatro empresas que foram consideradas aptas a participar do certame foram vencedoras de fatias de R$ 256 mil cada, ou seja, ultrapassando a casa de R$ 1 bilhão.

Diretor de Comunicação de Mandetta comandou ASCOM do goverto do PT 

O contrato bilionário foi renovado de forma silenciosa, sem o aval do presidente da República em uma estratégia do chefe da Comunicação do Ministério da Saúde, Ugo Braga, que foi ligado por anos aos governos lulopetistas. O Diretor de Comunicação Social de Mandetta foi Secretário de Comunicação do governo PT no DF, comandado por Agnelo Queiroz e chegou a se desentender com uma ala petista ligada e se aliou a José Roberto Arruda, pivô do mensalão do DEM. Ugo Braga é o chefe da Comunicação do Ministério da Saúde de Mandetta, mas foi nomeado para este cargo ainda no governo Michel Temer e na mudança de governo conseguiu permanecer no cargo em um acordão com o democratas e partidos de esquerda, sem o conhecimento de Jair Bolsonaro e com aval de Mandetta.
O ego do Ministro da saúde inflou e ele quer enfrentar o presidente Jair Bolsonaro, se escondendo atrás das mesmas mídias bancadas por ele. Mandetta está se achando o garoto propaganda do Coronavírus e sabe que sua queda é iminente, por isso aproveita cada dia para se tornar mais midiático, sem se preocupar com os empregos e com a comida na geladeira dos brasileiros.

https://www.agoraparana.com.br/noticia/heranca-maldita-mandetta-renova-contratos-de-publicidade-de-r-1bilhao-firmados-no-governo-dilma",1,https://www.aosfatos.org/noticias/e-falso-que-mandetta-renovou-contratos-de-publicidade-do-governo-dilma-sem-aval-do-planalto/,
23,23,"Em cerimônia realizada no Palácio do Planalto na tarde desta quinta-feira (2), a ministra Damares Alves apresentou as mais de 90 ações realizadas pelo Ministério da Mulher, da Família e dos Direitos Humanos (MMFDH) para o enfrentamento do novo coronavírus (Covid-19). Também estiveram presentes no evento o ministro-chefe da Casa Civil e coordenador do Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid-19, Braga Netto; o ministro de Minas e Energia, Bento Albuquerque; o ministro do Turismo, Marcelo Álvaro Antônio; e o ministro da Saúde, Henrique Mandetta... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/05/ministra-damares-apresenta-principais-acoes-de-enfrentamento-ao-covid-19/",0,,
24,23,"Para a OCDE, a recuperação da economia será lenta e parcial. A economia brasileira deve apresentar queda de 7,4% neste ano, segundo previsão da Organização para a Cooperação e Desenvolvimento Econômico (OCDE). Essa retração pode ser ainda maior, se houver uma segunda onda de contaminação pelo novo coronavírus (covid-19), chegando a 9,1% de queda do Produto Interno Bruto (PIB, soma de todos os bens e serviços produzidos no país). 
https://dunapress.org/2020/06/10/segunda-onda-da-covid-19-pode-levar-pib-do-brasil-cair-91/",0,,
25,23,"As Comunidades Terapêuticas, a partir desta terça-feira (31.03), deverão seguir medidas de prevenção e cuidados, em todas as suas unidades, em função da Emergência em Saúde Pública de Importância Nacional decorrente de infecção humana pelo novo coronavírus (COVID-19). A orientação foi publicada no Diário Oficial da União pelo Ministério da Cidadania, por meio da Portaria 340. As unidades devem seguir as orientações do Ministério da Saúde e da... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/05/comunidades-terapeuticas-recebem-orientacoes-para-periodo-de-combate-ao-covid-19/",0,,
26,23,"A diferença entre o soro (cura) e o veneno é a dose (fórmula). E nesta série semanal, abordarei as diferenças essenciais sobre quinina, cloroquina, e hidroxicloroquina, respectivamente, a partir da primeira. A quinina era um composto químico, um alcaloide nitrogenado farmacologicamente ativo e encontrado em uma angiosperma do gênero  Cinchona. Esta é conhecida como cinchona, pertence à família das Rubiáceas e parente do café... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/04/cuidado-com-o-veneno/",0,,1
27,23,"O DNA do vírus deixado no leito de um hospital foi encontrado em quase metade de todos os locais amostrados em uma enfermaria em 10 horas e persistiu por pelo menos cinco dias, de acordo com um novo estudo da UCL e do Great Ormond Street Hospital (GOSH). O estudo, publicado como uma carta no Journal of Hospital Infection , teve como objetivo simular com segurança como o SARS-CoV-2, o vírus que causa o Covid-19, pode se espalhar pelas superfícies de um hospital...
https://dunapress.org/2020/06/09/dna-do-coronavirus-se-espalha-por-superficies-de-enfermaria-de-hospital-por-mais-de-10-horas/",0,,
28,23,"Dra. Nise Yamaguchi integra gabinete de crise e propõe a cloroquina como tratamento imediato nos casos de coronavírus.

https://conexaopolitica.com.br/ultimas/dra-nise-yamaguchi-integra-gabinete-de-crise-e-propoe-a-cloroquina-como-tratamento-imediato-nos-casos-de-coronavirus/",0,,1
29,23,"@ElmindoP 💯% PATRIOTA!
*VAMOS ACORDAR BRASIL!!!!  E VOCE AINDA ACREDITANDO NESTA FARSA DE COVID19,                          É UM GOLPE QUE FOI ARQUITETADO PARA ENGANAR  OS  BRASILEIROS, MENOS ESCLARECIDOS...*
#NAOFIQUEEMCASA
#VAMOSTRABALHAR
#BOLSONAROESTACERTO

https://youtu.be/qv7c0LBCZfs",1,,
30,23,"Neste dia em que completa 21 anos de existência, o Ministério da Defesa encontra-se no epicentro de duas grandes operações que atuam diretamente na defesa do País e no fortalecimento da soberania nacional: Covid-19 e Verde Brasil 2. A tradicional cerimônia em comemoração ao aniversário não será realizada, mas, diante de todos os resultados alcançados, nas mais diversas frentes, em prol de toda a Nação, fica latente a certeza do rumo certo e do dever cumprido...
https://dunapress.org/2020/06/10/defesa-completa-21-anos-integrando-as-forcas-armadas-e-garantindo-a-soberania-nacional/",0,,
31,23,"Mantimentos serão doados à população carente de Salvador O tetracampeão mundial Acelino Popó agradeceu neste domingo (5), em um vídeo no Instagram, os lances acima de R$ 40 mil de interessados em adquirir o cinturão mundial conquistado pelo pugilista em 2002. No último sábado (4), Popó entrou no combate à pandemia do novo coronavírus (covid-19) ao levar a leilão o cinturão, pelo lance inicial de R$ 20 mil... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/07/covid-19-popo-poe-cinturao-em-leilao-para-comprar-cestas-basicas/",0,,
32,23,"Diante dos relatos reiterados de golpes que vem sendo aplicados por estelionatários por meio de chamadas telefônicas ou mensagens de Whatsapp, o Ministério da Saúde informa que não pede nem recebe doações em dinheiro, assim como não há fundo exclusivo para receber recursos da população para combate à pandemia de covid-19. Da mesma forma, o ministro de Estado da Saúde, Luiz Henrique Mandetta, em hipótese alguma solicita doações de recursos da população para combater a pandemia de covid-19... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/06/governo-bolsonaro-alerta-saude-nao-pede-doacao-de-dinheiro/",0,,
33,23,"Gente, isso é EXTREMAMENTE GRAVE!!! Mandetta além de picareta é um grande mentiroso! Ele Não mudou NADA em relação a hidroxicloroquina! Mentiu na cara dura!!!
Pra pedir dinheiro sem licitação pede com urgência agora para aprovar a hidroxicloroquina deixa pessoas continuarem morrendo!!!!

 #ForaMandetta!",1,,
34,23,"Atenas em Grande Morticínio e Guerras O mundo hoje vive em um claro cenário epidêmico, as pessoas sem exceção estão se cuidando para impedir que o vírus atual (Covid-19) bata em suas portas, mas este não é definitivamente o primeiro encontro nosso com uma pandemia, houveram outros, e por certo, muito piores e devastadores. Ao longo de toda história humana, tivemos inúmeros momentos em que o homem foi afligindo por doenças desconhecidas que acabaram por dizimar parcelas consideráveis de suas populações... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/06/pandemias-na-historia-gregos-e-sua-relacao-com-as-doencas/",0,,1
35,23,"Neste domingo (05), a Força Aérea Brasileira (FAB) deslocou seus meios aéreos, de diversas localidades do país, para a ALA 1 – Base Aérea de Brasília, ALA 11 – Base Aérea do Galeão e ALA 12 – Base Aérea de Santa Cruz, com o objetivo de promover a ampliação da capacidade de pronta-resposta em atendimento às demandas do Ministério da Defesa nas ações logísticas de enfrentamento à COVID-19... *Saiba através do link abaixo:*
https://dunapress.org/2020/04/06/fab-amplia-capacidade-de-pronta-resposta-em-apoio-a-operacao-covid-19/",0,,
36,23,"@ElmindoP 💯%PATRIOTA
A FARSA DESDE O INÍCIO JÁ SABÍAMOS, AGORA, QUEM SERÁ PENALIZADO? QUEM PAGARÁ A CONTA DA PALHAÇADA COM O POVO BRASILEIRO????
Nova revelação da OMS é bombástica: Pacientes assintomáticos não contribuem para a propagação do vírus - https://www.jornaldacidadeonline.com.br/noticias/21021/nova-revelacao-da-oms-e-bombastica-pacientes-assintomaticos-nao-contribuem-para-a-propagacao-do-virus",1,,1
37,23,"Empresa farmacêutica desenvolverá os protótipos para o uso; testes em camundongos devem começar em até três meses. Uma vacina por spray nasal é a nova aposta da Universidade de São Paulo (USP) contra a COVID-19, doença causada pelo novo coronavírus. O modelo de imunização, já testado em camundongos contra hepatite B, foi redirecionado para tentar frear a disseminação do vírus SARS-Cov-2...
https://dunapress.org/2020/06/09/usp-vacina-em-spray-com-aplicacao-no-nariz-sera-testada-contra-a-covid-19/",0,,
38,23,"Rio de Janeiro (RJ) – No dia 03 de abril de 2020, no Colégio Militar do Rio de Janeiro (CMRJ), ocorreu a formatura de promoção de oito soldados à graduação de cabos. O comandante/diretor do CMRJ, Senhor Coronel Isaias Martins Junior, determinou que todas as medidas de segurança preconizadas pelas autoridades de saúde nesse período de pandemia devido ao Covid-19 fossem tomadas, pois julgou importante, aos recrutas incorporados no corrente ano, constatar a oportunidade de “crescer” dentro do Serviço Militar e, aos promovidos, o reconhecimento pelo seu desempenho e dedicação à Força Terrestre... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/06/cerimonia-de-promocao-de-militares-no-cmrj/",0,,
39,23,"Objetivo é assegurar a continuidade do serviço de acolhimento, considerado essencial, e a segurança dos trabalhadores da rede socioassistencial. Diante do aumento do número de casos de agressão contra mulheres durante o período de isolamento social motivado pela pandemia de Covid-19, o Governo Federal publicou nesta terça-feira (02.06) uma portaria com orientações para o atendimento de vítimas pelo Sistema Único de Assistência Social (SUAS)...
https://dunapress.org/2020/06/09/portaria-garante-atendimento-as-mulheres-vitimas-de-violencia/",0,,
40,22,"Organização Mundial de Saúde: O aborto é “essencial” durante a pandemia de coronavírus chinês.

https://conexaopolitica.com.br/ultimas/organizacao-mundial-de-saude-o-aborto-e-essencial-durante-a-pandemia-de-coronavirus-chines/amp/",1,,1
41,22,"Ambos países planejam enviar veículos para Marte neste verão A rivalidade entre China e Estados Unidos vai esquentar neste verão, quando os dois países enviarem veículos para Marte. Parece que a jornada da China ao planeta vermelho não está sendo dificultada pelo surto de Covid-19, pela crise econômica ou pelas crescentes tensões com os EUA. A Administração Espacial Nacional da China acaba de anunciar que o programa para colocar um selo chinês no planeta vermelho seguirá em frente com os preparativos avançando bem em direção ao primeiro lançamento, provavelmente da província de Hainan, no sul, em julho ou agosto, quando os dois planetas estão mais próximos...
https://dunapress.org/2020/06/09/china-rivaliza-com-eua-os-lancamentos-de-naves-para-o-espaco/",0,,
42,22,"O Ministério da Defesa, em ação coordenada com o Ministério da Saúde e com o apoio da Confederação Nacional da Indústria (CNI), realiza, nesta segunda-feira (06/04), o transporte de equipamentos e medicamentos para auxiliar no combate ao novo coronavírus. Na missão, que faz parte da Operação COVID-19, uma aeronave VC-99 da Força Aérea Brasileira (FAB) transportará 18 respiradores hospitalares para serem reparados no Centro de Inovação e Tecnologia do SENAI-FIEMG (Federação das Indústrias do Estado de Minas Gerais), em Belo Horizonte (MG), além de 2.800 doses de vacinas da CNI para Palmas (TO) e Macapá (AP)... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/07/forcas-armadas-transportam-nesta-segunda-feira-respiradores-hospitalares-e-vacinas/",0,,
43,22,"As Forças Armadas seguem na missão de enfrentamento ao coronavírus e de apoio à população brasileira nesse combate. Marinha, Exército e Aeronáutica estão unidas em 10 Comandos Conjuntos espalhados pelo Brasil. Até o momento, foram empregadas 60 embarcações, 800 viaturas, 26 aeronaves, além de 25 mil militares. Uma das necessidades imediatas é dar assistência a pessoas de baixa renda, pois, em decorrência do isolamento social, não podem realizar suas atividades de trabalho... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/07/militares-apoiam-campanhas-de-doacao-de-alimentos/",0,,
44,21,"Agência cita conflitos políticos e coronavírus para justificar decisão A agência de classificação de risco Standard & Poor's (S&P) reduziu de positiva para estável a perspectiva da nota da dívida pública brasileira. A decisão foi divulgada na noite desta segunda-feira (6) e ocorre quase quatro meses depois de a agência ter indicado que poderia subir a nota do país...  *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/07/standard-poors-reduz-perspectiva-da-nota-do-brasil-para-estavel/",0,,
45,21,"Trabalhador deve receber auxílio emergencial em até 48 horas A partir das 9h de hoje (7), de 15 milhões a 20 milhões de trabalhadores informais não inscritos em programas sociais poderão baixar o aplicativo da Caixa Econômica Federal que permitirá o cadastramento para receberem a renda básica emergencial. O auxílio - de R$ 600 ou de R$ 1,2 mil para mães solteiras - será pago por pelo menos três meses para compensar a perda de renda decorrente da pandemia de coronavírus... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/07/autonomo-pode-baixar-aplicativo-a-partir-de-hoje-para-renda-de-r-600/",0,,
46,21,"“Portanto assim diz o Senhor: Eis que trarei mal sobre eles, de que não poderão escapar; e clamarão a mim, mas eu não os ouvirei. ” Jeremias 11:11 Nestes dias nefastos de COVID-19, onde o pânico e a incerteza têm se alastrado como fogo em pólvora, e com todos vendo-se obrigados a se trancarem em suas casas diante da ameaça invisível de uma ameaça invisivel que alastrou-se por todo o planeta, as pessoas buscam entender o que está acontecendo em meio a uma narrativa que muito lembra um filme apocalíptico... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/07/o-castigo-de-deus/",0,,1
47,21,"Medida facilita compra no mercado externo e reduz custo para a fabricação e operação de bens que serão utilizados na luta contra o coronavírus A Câmara de Comércio Exterior (Camex) zerou o Imposto de Importação de 25 insumos, componentes e acessórios utilizados na fabricação e operação de respiradores e ventiladores pulmonares e de máscaras de proteção. A redução das tarifas foi aprovada em reunião virtual do Comitê Executivo de Gestão da Camex (Gecex), na última quarta-feira (1o), no contexto das ações de política comercial para combate à pandemia da Covid-19... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/07/camex-zera-tarifas-de-importacao-de-25-insumos-para-combate-ao-coronavirus/",0,,
48,20,"O Ministério da Saúde adquiriu mais 15 mil respiradores mecânicos, para ajudar pacientes graves de coronavírus (Covid-19). Os ventiladores ajudam pacientes que apresentam dificuldades respiratórias. Após a assinatura do contrato, feita no final de março, a empresa tem até 30 dias para entregar os equipamentos no Brasil. O Ministério da Saúde tem mantido diálogo permanente com produtores brasileiros de respiradores para garantir a oferta no País... *Saiba mais através do link abaixo:*
https://dunapress.org/2020/04/06/coronavirus-governo-bolsonaro-adquire-15-mil-respiradores-mecanicos-para-reforcar-o-atendimento-no-sus/",0,,
49,20,"@ElmindoP 💯% PATRIOTA!
VAMOS ACORDAR BRASIL!!!!  E VOCE AINDA ACREDITANDO NESTA FARSA DE COVID19,                          É UM GOLPE QUE FOI ARQUITETADO PARA ENGANAR  OS  BRASILEIROS, MENOS ESCLARECIDOS?
#NAOFIQUEEMCASA
#VAMOSTRABALHAR
#BOLSONAROESTACERTO

https://youtu.be/LwZ8c1CNjB4",1,,
50,19,"Ministro detalhou ações prioritárias da pasta e enfatizou o papel do Auxílio Emergencial, do Bolsa Família e do SUAS. O Nordeste como destaque nos números superlativos do Bolsa Família. A abrangência do Auxílio Emergencial em todo o território nacional, com mais de 51 milhões de brasileiros que já receberam duas das três parcelas previstas em lei. A adesão de 4.737 municípios a equipamentos e recursos repassados ao Sistema Único de Assistência Social (SUAS)...
https://dunapress.org/2020/06/09/durante-reuniao-do-conselho-do-governo-ministro-da-cidadania-destaca-importancia-das-acoes-no-combate-a-covid-19/",0,,
